Station Name,day,Min Solar radiation,Average Solar radiation,Max Solar radiation
63rd Street Weather Station,05/17/2018,2,232.47826086956522,826
63rd Street Weather Station,08/10/2017,0,232.43478260869566,809
63rd Street Weather Station,05/13/2017,1,232.41666666666666,871
63rd Street Weather Station,07/02/2019,0,232.41666666666666,850
Oak Street Weather Station,08/22/2020,-5,232.375,777
63rd Street Weather Station,06/13/2018,0,232.23809523809524,844
Oak Street Weather Station,06/05/2018,-4,232.2173913043478,880
Oak Street Weather Station,05/31/2016,-2,232.1304347826087,898
63rd Street Weather Station,04/16/2019,3,232.04545454545453,759
Oak Street Weather Station,09/12/2016,-3,232.04347826086956,733
Oak Street Weather Station,09/05/2020,-3,232.04166666666666,790
Oak Street Weather Station,07/19/2021,-3,232.0,741
63rd Street Weather Station,03/15/2017,5,231.91666666666666,770
63rd Street Weather Station,08/01/2018,0,231.875,808
63rd Street Weather Station,06/04/2017,0,231.7391304347826,953
63rd Street Weather Station,08/16/2015,0,231.7391304347826,882
Oak Street Weather Station,08/29/2019,-5,231.70833333333334,759
63rd Street Weather Station,07/04/2018,0,231.66666666666666,919
63rd Street Weather Station,09/11/2016,1,231.56521739130434,832
Oak Street Weather Station,05/09/2022,-4,231.54166666666666,993
Oak Street Weather Station,09/02/2015,-2,231.46666666666667,752
63rd Street Weather Station,04/26/2019,2,231.3181818181818,826
Foster Weather Station,09/09/2022,2,231.16666666666666,733
63rd Street Weather Station,07/07/2020,0,231.1304347826087,809
Foster Weather Station,07/07/2022,2,231.125,757
Oak Street Weather Station,04/07/2020,-4,231.04347826086956,788
Oak Street Weather Station,08/01/2015,-2,230.95652173913044,1064
Oak Street Weather Station,08/23/2022,-5,230.7826086956522,819
63rd Street Weather Station,08/20/2021,0,230.7391304347826,704
63rd Street Weather Station,03/16/2017,4,230.66666666666666,773
Oak Street Weather Station,07/20/2016,-4,230.52380952380952,843
63rd Street Weather Station,07/22/2015,0,230.5,814
Oak Street Weather Station,04/27/2018,-2,230.45833333333334,860
Foster Weather Station,05/14/2022,2,230.41666666666666,821
63rd Street Weather Station,07/06/2016,0,230.28571428571428,877
63rd Street Weather Station,08/15/2015,0,230.2608695652174,807
Foster Weather Station,08/13/2015,0,229.95833333333334,785
Oak Street Weather Station,08/21/2020,-4,229.83333333333334,772
63rd Street Weather Station,08/18/2020,0,229.70833333333334,783
Oak Street Weather Station,07/07/2017,-5,229.625,913
63rd Street Weather Station,09/15/2018,0,229.5909090909091,680
Foster Weather Station,09/07/2022,2,229.45833333333334,737
Oak Street Weather Station,07/23/2019,-3,229.0,793
Oak Street Weather Station,08/14/2019,-3,228.95833333333334,925
Foster Weather Station,09/08/2022,3,228.91666666666666,722
63rd Street Weather Station,08/13/2020,0,228.875,769
63rd Street Weather Station,05/23/2020,1,228.75,911
63rd Street Weather Station,05/21/2021,0,228.625,982
Oak Street Weather Station,08/04/2019,-4,228.54166666666666,807
Oak Street Weather Station,09/04/2020,-4,228.375,816
Foster Weather Station,08/26/2021,0,228.33333333333334,717
63rd Street Weather Station,06/15/2022,-2,228.2173913043478,873
63rd Street Weather Station,07/27/2017,0,228.20833333333334,815
63rd Street Weather Station,07/24/2017,0,228.20833333333334,1176
63rd Street Weather Station,08/16/2020,0,228.17391304347825,744
63rd Street Weather Station,08/09/2020,0,228.16666666666666,792
Oak Street Weather Station,06/13/2018,-4,228.0,895
63rd Street Weather Station,07/28/2020,0,227.91666666666666,775
Oak Street Weather Station,08/15/2020,-4,227.91666666666666,844
63rd Street Weather Station,05/04/2022,3,227.91666666666666,661
63rd Street Weather Station,05/31/2016,2,227.83333333333334,926
63rd Street Weather Station,05/10/2019,3,227.83333333333334,798
Foster Weather Station,09/01/2021,2,227.7826086956522,799
63rd Street Weather Station,09/05/2016,0,227.75,884
63rd Street Weather Station,05/22/2022,2,227.75,867
Oak Street Weather Station,09/06/2021,-4,227.7391304347826,720
63rd Street Weather Station,03/12/2017,4,227.66666666666666,725
Oak Street Weather Station,04/10/2022,0,227.66666666666666,807
Oak Street Weather Station,05/07/2016,-3,227.5909090909091,915
63rd Street Weather Station,06/22/2022,-2,227.56521739130434,812
Oak Street Weather Station,07/27/2019,-5,227.54166666666666,780
Foster Weather Station,09/08/2021,2,227.54166666666666,771
Oak Street Weather Station,03/24/2020,2,227.53846153846155,582
63rd Street Weather Station,08/30/2021,0,227.5,713
Oak Street Weather Station,07/24/2021,-5,227.47826086956522,770
63rd Street Weather Station,07/29/2018,0,227.35,803
Foster Weather Station,08/17/2015,0,227.33333333333334,903
Foster Weather Station,08/22/2021,2,227.25,769
63rd Street Weather Station,05/31/2022,0,227.20833333333334,826
63rd Street Weather Station,04/23/2022,0,227.20833333333334,836
63rd Street Weather Station,08/25/2019,0,227.16666666666666,946
63rd Street Weather Station,08/15/2020,0,227.1304347826087,767
63rd Street Weather Station,08/16/2016,0,227.125,809
63rd Street Weather Station,05/20/2020,2,227.08333333333334,790
Oak Street Weather Station,07/31/2015,0,227.0,869
Oak Street Weather Station,09/04/2016,-3,227.0,854
Oak Street Weather Station,08/15/2017,-4,226.91666666666666,812
Oak Street Weather Station,08/24/2022,-5,226.875,742
63rd Street Weather Station,09/01/2017,1,226.83333333333334,775
63rd Street Weather Station,08/17/2021,0,226.82608695652175,730
63rd Street Weather Station,07/19/2018,0,226.70833333333334,811
63rd Street Weather Station,09/19/2020,2,226.54545454545453,671
63rd Street Weather Station,08/11/2016,0,226.5,831
Oak Street Weather Station,05/04/2018,-3,226.4375,993
63rd Street Weather Station,07/17/2016,0,226.3913043478261,920
63rd Street Weather Station,03/20/2016,3,226.36363636363637,761
Foster Weather Station,09/09/2021,2,226.33333333333334,732
Oak Street Weather Station,08/26/2021,-5,226.1304347826087,686
63rd Street Weather Station,04/21/2017,3,226.125,728
63rd Street Weather Station,06/23/2018,0,226.04166666666666,835
Foster Weather Station,03/13/2022,1,226.0,705
Oak Street Weather Station,07/04/2017,-4,225.75,730
Foster Weather Station,06/05/2022,2,225.625,822
63rd Street Weather Station,07/22/2020,0,225.58333333333334,899
Oak Street Weather Station,07/05/2022,-6,225.58333333333334,878
Oak Street Weather Station,08/28/2019,-4,225.45833333333334,834
Foster Weather Station,08/25/2021,0,225.41666666666666,869
Foster Weather Station,08/07/2015,0,225.30434782608697,811
Oak Street Weather Station,04/05/2020,2,225.25,949
Oak Street Weather Station,08/04/2021,-4,225.16666666666666,731
63rd Street Weather Station,03/25/2019,4,225.04166666666666,722
Oak Street Weather Station,04/12/2017,0,224.95833333333334,759
63rd Street Weather Station,09/16/2015,0,224.95454545454547,709
Foster Weather Station,06/08/2015,0,224.83333333333334,890
Oak Street Weather Station,08/22/2019,-4,224.625,758
63rd Street Weather Station,05/19/2022,0,224.58333333333334,721
Foster Weather Station,09/16/2015,0,224.54545454545453,680
Oak Street Weather Station,09/05/2017,-3,224.5,812
Oak Street Weather Station,06/12/2016,-4,224.47368421052633,746
63rd Street Weather Station,06/23/2016,1,224.375,935
Oak Street Weather Station,08/13/2017,-4,224.36363636363637,875
63rd Street Weather Station,03/17/2016,3,224.33333333333334,835
Oak Street Weather Station,09/16/2015,0,224.28571428571428,711
63rd Street Weather Station,04/09/2019,1,224.20833333333334,753
Oak Street Weather Station,06/15/2016,-5,224.15,902
Oak Street Weather Station,08/30/2022,-5,224.1304347826087,776
Foster Weather Station,08/23/2021,2,223.95833333333334,889
Oak Street Weather Station,09/11/2016,-3,223.91304347826087,765
Oak Street Weather Station,05/03/2020,-2,223.58333333333334,821
63rd Street Weather Station,09/10/2017,1,223.42857142857142,723
63rd Street Weather Station,05/27/2020,0,223.375,871
63rd Street Weather Station,03/26/2019,4,223.33333333333334,702
Oak Street Weather Station,08/28/2016,-4,223.3181818181818,748
63rd Street Weather Station,08/21/2016,1,223.08695652173913,883
Oak Street Weather Station,08/25/2019,-4,223.0,824
Oak Street Weather Station,06/07/2019,-2,222.91666666666666,835
Oak Street Weather Station,08/08/2019,-5,222.875,827
Oak Street Weather Station,07/22/2019,-4,222.875,763
63rd Street Weather Station,07/29/2020,0,222.79166666666666,1007
Foster Weather Station,06/07/2022,2,222.79166666666666,846
Oak Street Weather Station,07/05/2019,-5,222.75,917
63rd Street Weather Station,07/08/2020,0,222.7391304347826,858
63rd Street Weather Station,04/25/2016,0,222.71428571428572,925
Oak Street Weather Station,06/08/2019,-3,222.66666666666666,803
63rd Street Weather Station,08/30/2020,0,222.52173913043478,732
Oak Street Weather Station,05/06/2016,-3,222.33333333333334,904
63rd Street Weather Station,08/27/2021,0,222.2608695652174,717
Oak Street Weather Station,06/23/2018,-4,222.25,847
63rd Street Weather Station,04/01/2017,3,222.08695652173913,799
63rd Street Weather Station,05/14/2022,0,222.08333333333334,820
Oak Street Weather Station,06/04/2018,-5,222.05,874
Oak Street Weather Station,08/02/2017,-4,222.04545454545453,821
Oak Street Weather Station,08/16/2022,-5,222.04347826086956,819
Oak Street Weather Station,05/22/2021,-5,221.83333333333334,930
Oak Street Weather Station,08/14/2020,-4,221.82608695652175,809
63rd Street Weather Station,09/19/2015,1,221.8095238095238,761
63rd Street Weather Station,08/23/2015,1,221.7826086956522,907
63rd Street Weather Station,05/10/2018,1,221.75,786
63rd Street Weather Station,04/08/2019,1,221.625,737
Oak Street Weather Station,09/03/2015,-2,221.5909090909091,784
Oak Street Weather Station,06/18/2021,-5,221.5,802
63rd Street Weather Station,04/13/2016,3,221.375,827
Oak Street Weather Station,08/27/2022,-5,221.33333333333334,808
Oak Street Weather Station,08/01/2022,-6,221.29166666666666,909
Foster Weather Station,09/06/2015,0,221.2173913043478,685
63rd Street Weather Station,08/01/2022,0,221.2173913043478,869
Oak Street Weather Station,09/06/2015,-3,221.17391304347825,714
Oak Street Weather Station,07/16/2020,-4,221.0,877
Oak Street Weather Station,08/10/2019,-4,220.95833333333334,800
63rd Street Weather Station,08/22/2019,0,220.95833333333334,773
63rd Street Weather Station,06/06/2021,0,220.79166666666666,669
Oak Street Weather Station,04/14/2020,2,220.70833333333334,951
63rd Street Weather Station,09/03/2020,0,220.3913043478261,858
63rd Street Weather Station,06/18/2019,2,220.375,766
Oak Street Weather Station,08/16/2017,-5,220.375,757
Oak Street Weather Station,08/30/2017,-4,220.15,747
63rd Street Weather Station,07/01/2018,0,220.14285714285714,909
Foster Weather Station,08/01/2022,2,220.0,876
Oak Street Weather Station,05/11/2017,0,220.0,823
Foster Weather Station,08/24/2021,0,219.91666666666666,789
Oak Street Weather Station,06/19/2015,2,219.77272727272728,755
63rd Street Weather Station,07/13/2015,0,219.75,832
63rd Street Weather Station,08/10/2018,0,219.71428571428572,780
Oak Street Weather Station,08/02/2022,-6,219.66666666666666,836
Oak Street Weather Station,09/09/2022,-5,219.66666666666666,718
63rd Street Weather Station,07/30/2021,0,219.6086956521739,1057
63rd Street Weather Station,03/21/2016,3,219.5,747
63rd Street Weather Station,09/15/2015,0,219.41666666666666,735
63rd Street Weather Station,09/13/2015,2,219.3913043478261,842
63rd Street Weather Station,07/17/2019,0,219.375,791
63rd Street Weather Station,04/19/2019,4,219.375,830
63rd Street Weather Station,09/09/2021,0,219.20833333333334,706
Oak Street Weather Station,06/15/2018,-6,219.17391304347825,846
63rd Street Weather Station,02/22/2016,3,219.13333333333333,607
63rd Street Weather Station,05/16/2022,0,219.125,923
Oak Street Weather Station,07/28/2022,-5,219.08333333333334,965
Foster Weather Station,08/28/2021,2,219.04166666666666,747
63rd Street Weather Station,04/08/2018,4,219.0,769
Oak Street Weather Station,06/30/2015,0,218.95,803
Oak Street Weather Station,08/26/2020,-6,218.91666666666666,698
63rd Street Weather Station,08/29/2020,0,218.83333333333334,784
63rd Street Weather Station,08/11/2017,0,218.79166666666666,1066
63rd Street Weather Station,04/11/2016,3,218.79166666666666,747
63rd Street Weather Station,08/15/2022,0,218.70833333333334,766
63rd Street Weather Station,06/16/2017,0,218.66666666666666,946
Foster Weather Station,09/10/2022,1,218.66666666666666,784
63rd Street Weather Station,07/20/2020,0,218.625,698
63rd Street Weather Station,09/12/2016,0,218.5,726
63rd Street Weather Station,05/02/2018,0,218.5,791
Oak Street Weather Station,07/07/2020,-5,218.45833333333334,880
Foster Weather Station,03/20/2022,0,218.41666666666666,726
Oak Street Weather Station,05/03/2017,0,218.3913043478261,675
63rd Street Weather Station,08/16/2017,0,218.375,773
63rd Street Weather Station,08/09/2017,0,218.33333333333334,935
Foster Weather Station,08/19/2015,0,218.04166666666666,781
63rd Street Weather Station,08/29/2019,0,218.04166666666666,742
Oak Street Weather Station,08/07/2019,-5,218.0,857
63rd Street Weather Station,06/03/2019,2,217.875,760
Oak Street Weather Station,09/08/2022,-5,217.83333333333334,709
63rd Street Weather Station,06/05/2016,0,217.63636363636363,975
63rd Street Weather Station,04/14/2017,1,217.58333333333334,847
Oak Street Weather Station,08/30/2021,-5,217.58333333333334,705
63rd Street Weather Station,03/11/2016,4,217.56521739130434,726
Oak Street Weather Station,07/02/2019,-5,217.54166666666666,903
63rd Street Weather Station,07/13/2019,0,217.5,869
Foster Weather Station,08/27/2021,2,217.47826086956522,756
Oak Street Weather Station,08/05/2019,-5,217.41666666666666,893
Oak Street Weather Station,05/26/2021,-4,217.375,857
63rd Street Weather Station,08/30/2017,0,217.33333333333334,777
63rd Street Weather Station,05/07/2016,0,217.08333333333334,912
63rd Street Weather Station,08/28/2021,0,217.0,683
63rd Street Weather Station,07/05/2019,0,216.95833333333334,840
63rd Street Weather Station,05/29/2020,1,216.91666666666666,925
Foster Weather Station,09/20/2015,0,216.91304347826087,733
Foster Weather Station,03/14/2023,2,216.83333333333334,719
Foster Weather Station,07/17/2021,2,216.82608695652175,796
63rd Street Weather Station,03/25/2016,3,216.79166666666666,791
Oak Street Weather Station,06/01/2015,2,216.6086956521739,931
63rd Street Weather Station,09/21/2015,2,216.58333333333334,706
63rd Street Weather Station,05/29/2019,2,216.58333333333334,817
63rd Street Weather Station,03/28/2022,4,216.54545454545453,724
63rd Street Weather Station,05/03/2017,3,216.54166666666666,632
Oak Street Weather Station,09/13/2020,-3,216.34782608695653,769
Foster Weather Station,06/13/2015,0,216.33333333333334,855
63rd Street Weather Station,08/04/2020,1,216.17391304347825,790
63rd Street Weather Station,07/28/2021,0,216.17391304347825,668
Oak Street Weather Station,09/10/2021,-4,216.17391304347825,782
Oak Street Weather Station,05/29/2020,-2,216.16666666666666,949
63rd Street Weather Station,09/19/2016,0,216.16666666666666,721
63rd Street Weather Station,09/05/2020,0,216.08333333333334,682
Foster Weather Station,07/13/2015,0,216.08333333333334,821
63rd Street Weather Station,09/06/2016,0,215.95833333333334,892
Oak Street Weather Station,04/21/2017,0,215.95833333333334,724
Oak Street Weather Station,06/05/2022,-3,215.91666666666666,881
Oak Street Weather Station,07/26/2022,-5,215.83333333333334,765
63rd Street Weather Station,05/03/2019,4,215.82608695652175,792
63rd Street Weather Station,08/24/2015,1,215.75,880
Oak Street Weather Station,07/08/2016,-4,215.65217391304347,893
63rd Street Weather Station,07/05/2016,0,215.625,698
63rd Street Weather Station,03/18/2016,3,215.5,724
Oak Street Weather Station,08/19/2020,-3,215.34782608695653,787
63rd Street Weather Station,09/14/2015,0,215.29166666666666,689
63rd Street Weather Station,08/20/2015,1,215.16666666666666,908
Oak Street Weather Station,03/25/2018,1,215.13636363636363,724
63rd Street Weather Station,07/06/2015,0,215.125,940
63rd Street Weather Station,09/02/2018,0,215.0909090909091,841
63rd Street Weather Station,08/01/2017,0,214.69565217391303,967
Foster Weather Station,03/25/2016,0,214.5,764
63rd Street Weather Station,09/20/2016,0,214.5,720
Oak Street Weather Station,07/01/2019,-5,214.5,879
Foster Weather Station,03/20/2016,0,214.4090909090909,735
Oak Street Weather Station,09/09/2021,-3,214.375,711
Foster Weather Station,07/30/2021,2,214.2173913043478,954
Oak Street Weather Station,04/25/2017,-3,214.20833333333334,819
Foster Weather Station,09/18/2021,2,214.0952380952381,696
63rd Street Weather Station,03/10/2017,4,214.08333333333334,729
Oak Street Weather Station,06/27/2021,-4,214.08333333333334,1068
63rd Street Weather Station,09/18/2020,1,214.04166666666666,878
63rd Street Weather Station,05/25/2020,0,213.91666666666666,900
Foster Weather Station,07/14/2021,2,213.875,796
63rd Street Weather Station,08/26/2021,0,213.875,666
63rd Street Weather Station,08/28/2020,0,213.6086956521739,749
63rd Street Weather Station,08/02/2021,0,213.58333333333334,807
Oak Street Weather Station,07/25/2022,-5,213.58333333333334,768
63rd Street Weather Station,04/09/2017,0,213.52173913043478,798
63rd Street Weather Station,04/26/2017,0,213.16666666666666,981
63rd Street Weather Station,08/20/2017,0,213.1578947368421,792
Oak Street Weather Station,10/02/2015,0,213.15384615384616,640
Oak Street Weather Station,07/24/2015,-2,212.95238095238096,927
Oak Street Weather Station,08/08/2017,-4,212.9375,783
63rd Street Weather Station,07/31/2020,0,212.91666666666666,791
Foster Weather Station,03/12/2022,1,212.77272727272728,711
Oak Street Weather Station,05/21/2021,-4,212.75,899
Oak Street Weather Station,06/05/2019,-4,212.75,990
63rd Street Weather Station,07/17/2021,0,212.7391304347826,734
Oak Street Weather Station,08/22/2021,-5,212.70833333333334,761
Foster Weather Station,08/19/2021,2,212.69565217391303,811
Foster Weather Station,04/17/2022,2,212.65217391304347,871
63rd Street Weather Station,07/10/2019,0,212.56521739130434,887
Oak Street Weather Station,09/07/2019,-3,212.375,823
63rd Street Weather Station,09/18/2016,1,212.2173913043478,735
63rd Street Weather Station,09/18/2017,0,212.2173913043478,730
Oak Street Weather Station,09/07/2022,-4,212.125,727
Oak Street Weather Station,08/19/2019,-4,212.08333333333334,749
63rd Street Weather Station,08/21/2015,2,212.0,762
63rd Street Weather Station,03/22/2019,4,212.0,740
63rd Street Weather Station,08/28/2019,0,211.95833333333334,841
Foster Weather Station,05/22/2022,2,211.91666666666666,633
Oak Street Weather Station,04/11/2016,1,211.91666666666666,722
Oak Street Weather Station,07/31/2017,-4,211.9090909090909,782
63rd Street Weather Station,09/15/2016,0,211.79166666666666,728
Oak Street Weather Station,08/03/2016,-4,211.76190476190476,810
63rd Street Weather Station,05/26/2020,0,211.6818181818182,761
Foster Weather Station,05/31/2022,1,211.58333333333334,765
Oak Street Weather Station,08/20/2021,-5,211.54166666666666,734
63rd Street Weather Station,08/31/2018,0,211.52173913043478,706
63rd Street Weather Station,03/31/2019,5,211.41666666666666,807
63rd Street Weather Station,06/14/2016,0,211.375,789
63rd Street Weather Station,08/19/2015,1,211.27272727272728,800
Oak Street Weather Station,03/28/2022,3,211.2173913043478,759
63rd Street Weather Station,09/14/2019,0,211.20833333333334,670
Oak Street Weather Station,06/22/2022,-6,211.16666666666666,866
Oak Street Weather Station,06/09/2015,-2,211.1,734
Oak Street Weather Station,03/25/2020,0,211.0,741
Oak Street Weather Station,09/05/2021,-4,210.91666666666666,715
63rd Street Weather Station,08/11/2020,0,210.7826086956522,772
63rd Street Weather Station,03/08/2017,3,210.66666666666666,718
63rd Street Weather Station,09/04/2019,0,210.66666666666666,961
Oak Street Weather Station,08/27/2021,-6,210.6086956521739,713
63rd Street Weather Station,08/21/2020,0,210.47619047619048,724
Foster Weather Station,07/23/2022,0,210.375,825
Oak Street Weather Station,06/21/2019,-2,210.29166666666666,704
63rd Street Weather Station,06/21/2020,0,210.25,837
63rd Street Weather Station,07/07/2019,1,210.25,700
63rd Street Weather Station,07/26/2019,0,210.16666666666666,805
Oak Street Weather Station,05/10/2018,-3,210.16666666666666,854
63rd Street Weather Station,09/13/2018,1,210.125,727
63rd Street Weather Station,07/03/2019,0,210.04347826086956,882
63rd Street Weather Station,09/10/2018,1,210.04166666666666,830
63rd Street Weather Station,08/30/2018,1,210.0,710
63rd Street Weather Station,03/26/2016,3,209.95833333333334,763
Foster Weather Station,07/09/2015,0,209.95652173913044,1158
Oak Street Weather Station,07/10/2015,0,209.94736842105263,939
Foster Weather Station,09/02/2022,2,209.875,813
63rd Street Weather Station,09/04/2016,0,209.8181818181818,792
63rd Street Weather Station,10/08/2017,0,209.75,657
Foster Weather Station,04/27/2022,2,209.625,1100
63rd Street Weather Station,08/26/2018,0,209.61904761904762,775
63rd Street Weather Station,07/27/2021,0,209.58333333333334,652
Oak Street Weather Station,04/15/2017,-4,209.30434782608697,778
63rd Street Weather Station,06/30/2020,0,209.16666666666666,775
Oak Street Weather Station,05/31/2022,-6,209.125,780
63rd Street Weather Station,09/24/2017,0,209.0952380952381,670
63rd Street Weather Station,05/22/2021,0,208.95833333333334,877
Oak Street Weather Station,03/12/2017,1,208.95,672
Oak Street Weather Station,09/17/2015,-2,208.95,686
Oak Street Weather Station,07/07/2022,-4,208.875,735
Foster Weather Station,09/16/2021,2,208.83333333333334,692
63rd Street Weather Station,03/20/2022,3,208.79166666666666,687
Foster Weather Station,03/28/2022,1,208.7826086956522,745
63rd Street Weather Station,06/05/2019,0,208.75,748
Oak Street Weather Station,04/01/2017,0,208.69565217391303,752
63rd Street Weather Station,02/15/2019,5,208.64285714285714,551
Oak Street Weather Station,07/26/2020,-5,208.63636363636363,916
Oak Street Weather Station,06/22/2021,-2,208.58333333333334,1011
63rd Street Weather Station,09/05/2018,0,208.56521739130434,769
63rd Street Weather Station,08/18/2018,0,208.1304347826087,640
63rd Street Weather Station,08/02/2017,0,208.04166666666666,850
Foster Weather Station,03/26/2016,0,207.95833333333334,743
Oak Street Weather Station,07/01/2016,-2,207.85714285714286,861
Foster Weather Station,09/21/2015,0,207.66666666666666,685
Oak Street Weather Station,07/13/2019,-5,207.66666666666666,940
63rd Street Weather Station,04/10/2022,1,207.6086956521739,767
Foster Weather Station,09/19/2022,0,207.58333333333334,735
63rd Street Weather Station,06/28/2019,0,207.45833333333334,709
63rd Street Weather Station,04/19/2022,3,207.45,935
Foster Weather Station,09/25/2020,0,207.43478260869566,710
Oak Street Weather Station,06/27/2016,-4,207.3684210526316,878
63rd Street Weather Station,09/16/2021,0,207.33333333333334,669
63rd Street Weather Station,09/22/2018,1,207.30434782608697,667
63rd Street Weather Station,03/19/2019,3,207.25,716
Foster Weather Station,06/13/2022,1,207.17391304347825,842
Oak Street Weather Station,07/10/2018,-6,207.125,801
63rd Street Weather Station,04/11/2018,3,206.91666666666666,757
Oak Street Weather Station,08/10/2021,-6,206.6086956521739,805
Oak Street Weather Station,09/05/2016,-5,206.58333333333334,883
Foster Weather Station,09/17/2021,0,206.54166666666666,686
63rd Street Weather Station,03/23/2019,4,206.5,669
Oak Street Weather Station,09/10/2017,-3,206.47619047619048,699
Oak Street Weather Station,02/22/2016,2,206.44444444444446,531
Oak Street Weather Station,08/13/2020,-4,206.43478260869566,837
Oak Street Weather Station,06/05/2020,-3,206.43478260869566,853
Oak Street Weather Station,08/17/2016,-4,206.41666666666666,971
Oak Street Weather Station,08/14/2016,-4,206.3913043478261,907
63rd Street Weather Station,08/05/2019,0,206.25,840
63rd Street Weather Station,07/07/2017,0,206.25,878
63rd Street Weather Station,06/14/2018,1,206.20833333333334,671
Oak Street Weather Station,08/29/2016,-4,206.20833333333334,822
63rd Street Weather Station,05/16/2020,2,206.13636363636363,651
63rd Street Weather Station,07/22/2017,0,206.04166666666666,817
63rd Street Weather Station,04/20/2017,2,206.04166666666666,1131
Oak Street Weather Station,08/31/2016,-3,205.91666666666666,771
63rd Street Weather Station,08/24/2020,0,205.875,677
63rd Street Weather Station,09/22/2015,1,205.875,691
63rd Street Weather Station,09/20/2015,2,205.7826086956522,756
Foster Weather Station,07/29/2022,2,205.75,970
Foster Weather Station,09/14/2022,2,205.66666666666666,677
63rd Street Weather Station,09/15/2021,0,205.66666666666666,689
63rd Street Weather Station,04/25/2019,3,205.6086956521739,763
63rd Street Weather Station,07/19/2019,0,205.58333333333334,773
Oak Street Weather Station,03/26/2016,1,205.58333333333334,758
63rd Street Weather Station,05/17/2017,0,205.56521739130434,842
63rd Street Weather Station,06/23/2020,1,205.5,1005
Oak Street Weather Station,09/10/2022,-5,205.33333333333334,824
63rd Street Weather Station,07/12/2022,0,205.04166666666666,844
63rd Street Weather Station,06/07/2022,1,204.875,930
63rd Street Weather Station,11/03/2015,2,204.86666666666667,515
63rd Street Weather Station,08/09/2018,0,204.83333333333334,829
Oak Street Weather Station,08/28/2021,-6,204.83333333333334,698
Foster Weather Station,06/20/2015,0,204.8095238095238,753
Oak Street Weather Station,08/08/2015,0,204.66666666666666,899
63rd Street Weather Station,03/04/2019,7,204.5909090909091,663
63rd Street Weather Station,06/01/2018,0,204.5909090909091,764
63rd Street Weather Station,09/04/2015,1,204.54545454545453,778
Oak Street Weather Station,06/29/2017,-4,204.54166666666666,856
Foster Weather Station,03/11/2016,0,204.43478260869566,688
Oak Street Weather Station,08/25/2021,-4,204.33333333333334,794
63rd Street Weather Station,06/21/2021,0,204.16666666666666,832
63rd Street Weather Station,08/13/2017,0,204.08695652173913,748
Oak Street Weather Station,07/03/2017,-4,203.91304347826087,749
63rd Street Weather Station,09/07/2019,1,203.83333333333334,748
Oak Street Weather Station,05/30/2020,0,203.79166666666666,908
63rd Street Weather Station,09/02/2021,0,203.79166666666666,712
Foster Weather Station,04/01/2022,2,203.79166666666666,820
63rd Street Weather Station,08/14/2018,0,203.66666666666666,731
63rd Street Weather Station,09/23/2015,1,203.58333333333334,683
Oak Street Weather Station,04/24/2018,0,203.47826086956522,706
Oak Street Weather Station,04/10/2018,0,203.2608695652174,956
63rd Street Weather Station,08/14/2016,0,203.1304347826087,916
Oak Street Weather Station,07/24/2017,-3,203.1304347826087,929
63rd Street Weather Station,03/12/2022,5,203.0909090909091,687
63rd Street Weather Station,09/17/2016,0,203.08695652173913,815
Foster Weather Station,09/03/2015,0,203.08695652173913,784
63rd Street Weather Station,06/21/2019,2,203.08333333333334,680
63rd Street Weather Station,08/17/2020,0,202.95833333333334,858
63rd Street Weather Station,07/13/2016,1,202.94117647058823,981
63rd Street Weather Station,08/22/2017,0,202.91304347826087,925
Oak Street Weather Station,06/14/2018,-4,202.8695652173913,683
63rd Street Weather Station,03/11/2017,5,202.7391304347826,701
63rd Street Weather Station,07/07/2022,0,202.70833333333334,542
63rd Street Weather Station,08/13/2019,0,202.56521739130434,890
Oak Street Weather Station,08/18/2020,-4,202.5,819
63rd Street Weather Station,05/03/2016,2,202.41666666666666,938
Oak Street Weather Station,07/29/2020,-5,202.34782608695653,927
63rd Street Weather Station,09/02/2019,0,202.29166666666666,712
Foster Weather Station,10/01/2022,2,202.1304347826087,654
Oak Street Weather Station,06/20/2017,-2,201.95833333333334,936
Foster Weather Station,09/23/2015,0,201.83333333333334,684
Foster Weather Station,02/21/2023,4,201.8125,638
Oak Street Weather Station,08/27/2019,-4,201.75,907
63rd Street Weather Station,05/05/2017,3,201.58333333333334,921
63rd Street Weather Station,04/10/2018,3,201.5,975
63rd Street Weather Station,08/14/2019,0,201.45833333333334,824
63rd Street Weather Station,09/20/2020,0,201.45833333333334,660
63rd Street Weather Station,04/12/2018,2,201.45833333333334,855
Oak Street Weather Station,07/19/2019,-6,201.45833333333334,863
Oak Street Weather Station,09/01/2022,-6,201.33333333333334,749
Oak Street Weather Station,08/31/2020,-5,201.29166666666666,756
63rd Street Weather Station,05/28/2016,0,201.20833333333334,837
63rd Street Weather Station,07/26/2017,0,201.16666666666666,857
Oak Street Weather Station,05/02/2018,-4,201.16666666666666,826
Oak Street Weather Station,05/19/2022,-5,201.1304347826087,744
63rd Street Weather Station,06/27/2018,0,201.125,1110
Oak Street Weather Station,07/07/2019,-3,201.0,996
63rd Street Weather Station,08/06/2022,0,201.0,718
63rd Street Weather Station,09/26/2016,1,200.79166666666666,717
Foster Weather Station,09/02/2021,2,200.79166666666666,753
63rd Street Weather Station,09/23/2017,0,200.6086956521739,656
63rd Street Weather Station,04/17/2022,3,200.6086956521739,748
Oak Street Weather Station,03/23/2018,1,200.58333333333334,739
