Station Name,day,Min Solar radiation,Average Solar radiation,Max Solar radiation
63rd Street Weather Station,06/25/2020,0,308.3333333333333,893
63rd Street Weather Station,05/12/2017,3,308.2083333333333,886
63rd Street Weather Station,06/01/2021,2,308.0,880
Oak Street Weather Station,06/18/2022,-3,307.7391304347826,901
63rd Street Weather Station,05/27/2017,2,307.625,878
Oak Street Weather Station,06/16/2015,0,307.54545454545456,974
63rd Street Weather Station,06/03/2018,1,307.4736842105263,876
Foster Weather Station,06/27/2015,0,307.4583333333333,898
63rd Street Weather Station,03/30/2018,3,307.3125,825
63rd Street Weather Station,05/29/2017,0,307.0,918
Oak Street Weather Station,07/05/2015,0,306.44444444444446,826
63rd Street Weather Station,06/20/2022,0,305.9166666666667,830
Foster Weather Station,07/03/2022,3,305.875,845
Foster Weather Station,06/01/2021,2,305.8333333333333,864
Foster Weather Station,06/14/2022,3,305.7916666666667,843
63rd Street Weather Station,05/22/2016,2,305.5217391304348,848
63rd Street Weather Station,07/07/2018,1,305.4583333333333,845
63rd Street Weather Station,07/21/2015,0,305.375,862
63rd Street Weather Station,06/10/2016,0,305.3333333333333,893
63rd Street Weather Station,07/09/2017,0,305.17391304347825,978
Foster Weather Station,06/06/2015,0,304.3478260869565,856
Foster Weather Station,06/13/2021,2,304.17391304347825,866
63rd Street Weather Station,05/16/2017,0,304.1304347826087,963
63rd Street Weather Station,05/06/2020,3,303.875,867
Oak Street Weather Station,06/06/2015,2,303.8695652173913,904
63rd Street Weather Station,05/08/2017,3,303.75,1047
Foster Weather Station,07/10/2022,2,303.25,863
Oak Street Weather Station,05/05/2016,1,303.1363636363636,869
Foster Weather Station,06/03/2015,0,303.125,863
Foster Weather Station,06/03/2021,1,303.0833333333333,849
63rd Street Weather Station,06/10/2017,0,302.9166666666667,894
Foster Weather Station,07/01/2021,2,302.4166666666667,857
63rd Street Weather Station,06/08/2017,0,302.2916666666667,895
Foster Weather Station,06/30/2022,3,302.1666666666667,929
Oak Street Weather Station,05/12/2020,1,302.125,1022
63rd Street Weather Station,06/27/2015,2,302.125,915
63rd Street Weather Station,05/31/2017,0,301.9583333333333,1065
63rd Street Weather Station,06/06/2020,1,301.875,823
Oak Street Weather Station,05/30/2016,-3,301.82608695652175,897
Oak Street Weather Station,06/14/2019,-4,301.7083333333333,1019
63rd Street Weather Station,05/12/2020,3,301.5416666666667,1079
Foster Weather Station,06/10/2021,2,301.5416666666667,814
63rd Street Weather Station,07/01/2015,3,301.5238095238095,903
Foster Weather Station,07/18/2022,2,301.4166666666667,848
63rd Street Weather Station,07/18/2017,0,300.9166666666667,863
Foster Weather Station,06/11/2021,2,300.875,845
Oak Street Weather Station,05/29/2016,-3,300.69565217391306,1071
Oak Street Weather Station,04/29/2018,0,300.59090909090907,864
63rd Street Weather Station,05/05/2016,3,300.5416666666667,868
63rd Street Weather Station,06/18/2016,1,300.5,873
Oak Street Weather Station,06/16/2021,-2,300.39130434782606,865
Oak Street Weather Station,07/02/2017,-4,300.3181818181818,857
63rd Street Weather Station,06/17/2022,0,300.25,822
63rd Street Weather Station,06/16/2022,-2,300.125,828
63rd Street Weather Station,06/14/2021,0,299.9583333333333,841
63rd Street Weather Station,05/27/2018,0,299.90909090909093,782
63rd Street Weather Station,07/09/2022,0,299.7083333333333,822
Oak Street Weather Station,06/02/2019,0,299.625,932
63rd Street Weather Station,05/07/2022,3,299.625,849
63rd Street Weather Station,08/12/2018,0,299.6,755
63rd Street Weather Station,06/02/2019,2,299.5416666666667,845
63rd Street Weather Station,07/17/2015,0,299.4583333333333,916
Foster Weather Station,06/19/2022,2,299.1666666666667,858
63rd Street Weather Station,06/09/2021,0,299.1304347826087,778
Foster Weather Station,07/21/2015,0,299.0833333333333,847
63rd Street Weather Station,07/29/2017,0,299.0,854
Oak Street Weather Station,07/03/2016,-2,299.0,707
63rd Street Weather Station,07/02/2016,1,298.8235294117647,914
63rd Street Weather Station,06/17/2021,0,298.7916666666667,879
Oak Street Weather Station,07/03/2018,-5,298.6818181818182,824
63rd Street Weather Station,06/16/2020,1,298.6666666666667,814
63rd Street Weather Station,06/05/2018,0,298.5833333333333,962
63rd Street Weather Station,06/06/2016,0,298.5416666666667,1003
63rd Street Weather Station,06/28/2022,0,298.5416666666667,899
63rd Street Weather Station,06/10/2019,1,298.5,846
63rd Street Weather Station,06/02/2022,1,298.5,806
63rd Street Weather Station,06/19/2021,0,298.4347826086956,841
63rd Street Weather Station,07/16/2018,0,297.89473684210526,900
Oak Street Weather Station,06/06/2016,-2,297.82608695652175,974
63rd Street Weather Station,06/03/2021,0,297.4583333333333,819
Foster Weather Station,05/30/2021,1,297.1304347826087,898
63rd Street Weather Station,07/01/2021,0,297.0833333333333,833
63rd Street Weather Station,08/03/2015,0,296.9583333333333,840
Oak Street Weather Station,06/08/2017,-4,296.7391304347826,864
63rd Street Weather Station,06/19/2022,0,296.7083333333333,991
Oak Street Weather Station,06/28/2018,-4,296.69565217391306,831
63rd Street Weather Station,07/02/2018,0,295.9166666666667,814
63rd Street Weather Station,07/02/2020,0,295.6666666666667,822
Oak Street Weather Station,06/27/2017,-3,295.5,998
63rd Street Weather Station,07/19/2017,0,295.4782608695652,818
Foster Weather Station,05/30/2022,3,295.4166666666667,939
63rd Street Weather Station,05/29/2016,0,295.17391304347825,972
63rd Street Weather Station,07/14/2016,0,295.0833333333333,1019
63rd Street Weather Station,07/17/2018,0,295.0,838
63rd Street Weather Station,06/17/2020,1,294.875,818
Foster Weather Station,07/20/2022,2,294.875,942
Oak Street Weather Station,05/08/2016,0,294.8,870
63rd Street Weather Station,05/09/2020,2,294.7916666666667,875
Oak Street Weather Station,06/29/2016,-2,294.77777777777777,905
63rd Street Weather Station,05/08/2020,3,294.625,930
Foster Weather Station,06/09/2021,2,294.3333333333333,833
Foster Weather Station,07/05/2021,2,294.25,822
Oak Street Weather Station,05/16/2018,-3,294.1,873
63rd Street Weather Station,06/03/2022,1,294.0869565217391,844
Foster Weather Station,06/05/2021,2,294.0416666666667,903
Oak Street Weather Station,07/17/2015,-2,293.9583333333333,930
