name,time,air_Pressure_mH2o,air_Temp_float,airtime,batt,channel,coding_rate,counter,data_rate,dev_id,dist,dist2,frequency,gateway_time,gateway_timestamp,gtw_id,hardware_serial,is_retry,modulation,payload_raw,port,rf_chain,rssi,snr,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
puhatu,1.60358E+18,-1,0,1.97E+09,3.44,1,04-May,0,SF12BW125,fipy_e1,28.61587143,,868.3,2020-10-24T22:35:38.794928Z,3.13E+08,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,vnpcQE7t5EEAACDBAAAAAAAAgL8AAAAA,1,0,-17,10,-10,0,
puhatu,1.60358E+18,-1,0,1.97E+09,3.44,7,04-May,0,SF12BW125,fipy_e1,28.38071632,,867.9,2020-10-24T23:05:34.922994Z,2.11E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,3WxcQLUL40HcSyNBWcicQQAAgL8AAAAA,1,0,-21,13,10.20602036,19.597826,
puhatu,1.60358E+18,-1,0,1.97E+09,3.45,6,04-May,0,SF12BW125,fipy_e1,29.57216263,,867.7,2020-10-24T23:34:03.101698Z,3.82E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,sHxcQMqT7EFrXSNBes2cQQAAgL8AAAAA,1,0,-17,8.8,10.21030712,19.60033035,
puhatu,1.60358E+18,-1,0,1.97E+09,3.44,3,04-May,0,SF12BW125,fipy_e1,31.86883163,,867.1,2020-10-25T00:04:09.622234Z,1.33E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,iG5cQF7z/kEAAIC/AAAAAAAAgL8AAAAA,1,0,-19,13,-1,0,
puhatu,1.60359E+18,-1,0,1.97E+09,3.44,5,04-May,0,SF12BW125,fipy_e1,28.53766441,,867.5,2020-10-25T00:34:09.84831Z,3.13E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,lXFcQCNN5EHybiNBzL+cQQAAgL8AAAAA,1,0,-19,11,10.21458626,19.59365082,
puhatu,1.60359E+18,-1,0,1.97E+09,3.44,5,04-May,0,SF12BW125,fipy_e1,28.57204056,,867.5,2020-10-25T01:04:10.832823Z,6.35E+08,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,M2tcQIqT5EEAAIC/AAAAAAAAgL8AAAAA,1,0,-18,10.8,-1,0,
puhatu,1.60359E+18,-1,0,1.97E+09,3.44,0,04-May,0,SF12BW125,fipy_e1,30.59963036,,868.1,2020-10-25T01:35:41.911688Z,2.53E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,/VlcQAvM9EEEhSNBKFWcQQAAgL8AAAAA,1,0,-21,12.2,10.21997452,19.5415802,
puhatu,1.60359E+18,-1,0,1.97E+09,3.44,6,04-May,0,SF12BW125,fipy_e1,27.19379044,,867.7,2020-10-25T02:04:03.864454Z,4.23E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,t09cQOKM2UFWiyNBtaWcQQAAgL8AAAAA,1,0,-17,11.8,10.22151756,19.58091164,
puhatu,1.60359E+18,-1,0,1.97E+09,3.44,3,04-May,0,SF12BW125,fipy_e1,28.12368393,,867.1,2020-10-25T02:34:10.11429Z,1.74E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,xFdcQE794EGClSNB9LicQQAAgL8AAAAA,1,0,-18,13,10.22400093,19.59030914,
puhatu,1.6036E+18,-1,0,1.97E+09,3.44,2,04-May,0,SF12BW125,fipy_e1,27.72286034,,868.5,2020-10-25T03:05:40.791021Z,3.63E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,KkpcQGvI3UHcoyNBbF6cQQAAgL8AAAAA,1,0,-17,9.2,10.22750473,19.54610443,
